Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Arduino: Prototyping,"For designers and product managers, the Arduino family of microcontrollers and easy-to-assemble components is a valuable tool for exploring and evaluating hardware product designs. Rapid, incremental prototypes can help improve outcomes and reduce cost and time in the design process. In this course, instructor Robert Gallup helps you go beyond the basics and learn what it takes to develop Arduino-based prototypes. Robert begins by providing an overview of the prototype development process, highlighting both best practices and potential pitfalls. He then steps through how to develop and refine a proof-of-concept prototype, introducing relevant concepts and techniques along the way. After this course, you'll be ready to tackle your own hardware prototyping using Arduino. <br>
Robert also includes several hands-on challenges with solutions to help you better understand the LCD, animation dynamics, and the final process of completing your prototype and modifying it in response to feedback.",Course,2022-06-18 11:09 UTC,N/A,false,N/A,
Navigating the EU AI Act,"<p>The European Union (EU) Artificial Intelligence (AI) Act is a first-of-its-kind global regulation for trustworthy AI. Once passed into law, the act will enforce a legal framework using a risk-based approach aimed at regulating the development, deployment, and use of AI in the European Union. Companies failing to abide by the reporting and transparency requirements defined in the act will be subject to monetary repercussions.
</p><p>
In this course, Tristan Ingold examines the transformative EU AI Act. He defines AI systems in the context of the EU and identifies requirements and obligations imposed by the act on AI system providers and users. He also details the various business and technical challenges and opportunities that stakeholders will have to consider. Whether you are a developer, business leaders, risk and compliance professional, or just interested in understanding the future of AI regulation, this course should help you understand how legislative developments will impact AI systems.",Course,2025-06-09 01:06 UTC,N/A,false,N/A,
C Standard Library,"Get up to speed with the C standard library, the standardized library of functions available for the C programming language. This course covers over 60 of the most useful and popular functions, as grouped in the header files stdio.h, stdlib.h, stdint.h, string.h, and math.h. Instructor Eduardo Corpeño starts by reviewing the library's organization and familiarizing you with the header files and syntax. Then he shows how to accomplish a variety of tasks with the library: processing input and output, managing application memory, generating random numbers, sorting and searching for data, manipulating text strings, and performing math. Each chapter includes numerous examples that show the functions in practice, along with programming challenges that allow you to test your new knowledge and skills.",Course,2019-03-07 23:08 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5037960,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5037960,Course,2020-01-12 12:28 UTC,N/A,false,N/A,
Handling Customer Complaints with Empathy,"<p>Handling customer complaints is a critical skill for maintaining satisfaction and trust. In this course, customer service expert Sara Odirisio demonstrates the importance of addressing complaints with empathy and discovering unresolved issues. From understanding different types of complaints to mastering the appropriate language, posture, and gestures, this course helps you develop the skills required to de-escalate tense situations, offering strategies for active listening, asking the right questions, handling aggressive customers, and more. Sara guides you through a practical five-step process to resolve complaints and shares tips for addressing written complaints and ensuring follow-up. By the end of this course, you’ll be better prepared to navigate customer complaints with empathy, keeping interactions calm, professional, and solution-focused.</p><p>Note: This course was created by Sara Odorisio and CRFT Productions. We are pleased to host this training in our library.</p>",Course,2025-02-14 13:42 UTC,N/A,false,N/A,
Emotional Intelligence for Project Managers (Blinkist Summary),"<i>Emotional Intelligence for Project Managers</i> builds on the writings of Daniel Goleman, who developed principles of emotional intelligence. Emotional intelligence is crucial in many aspects of life, and author Anthony Mersino tailors Goleman’s principles specifically to the needs of project managers. Discover how to develop skills such as self-awareness, self-management, and social awareness, and practice relationship management and team leadership on an advanced level. This short, audio-only course helps project managers master the people skills they need to achieve outstanding results—in under 15 minutes.<br><br>

Note: This audiobook summary was produced by <a href=""https://www.blinkist.com/?utm_source=linkedinlearning&utm_medium=partner&utm_campaign=Emotional-Intelligence-for-Project-Managers-Blinkist"" target=""_blank"">Blinkist</a>. We are pleased to host this content in our library.",Course,2024-04-30 01:53 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-10-16 22:21 UTC,N/A,false,N/A,
Nano Tips to Communicate Assertively and Set Boundaries with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, award-winning leadership strategist and peak performance educator for Fortune 500 companies, Shadé Zahrai, shares essential tips on assertive communication—and how to confidently set boundaries. Learn how to communicate assertively to reduce confrontations and improve interpersonal outcomes, set boundaries for off-hours communication, address disagreement constructively, and more.",Course,2025-08-13 01:27 UTC,N/A,false,N/A,
Learning Adobe Audition,"Adobe Audition is a powerful tool for recording, editing, enhancing, and mixing audio of all kinds. It's also a deep program that can seem intimidating at first, but don’t let that stop you from exploring. In this course, author of the official <i>Adobe Audition Classroom in a Book</i> Maxim Jago breaks it down for you, outlining the key features and processes involved in creating great-sounding audio with Audition. An ideal fit for podcasters, audio producers, and video producers working with audio, this course equips you with the skills you need to produce and share exceptional audio content on your next project.",Course,2025-01-28 13:13 UTC,N/A,false,N/A,
Introduction to AI-Native Vector Databases,"<p>The primary purpose of vector databases is to provide fast and accurate similarity search or nearest neighbor search capabilities. The integration of AI techniques in vector databases enhances their capabilities, improves search accuracy, optimizes performance, and enables more intelligent and efficient management of high-dimensional data. In this course, Zain Hasan introduces this foundational technology—which is already being used in industries like ecommerce, social media, and more. Zain covers everything from foundational concepts around AI-first vector databases to hands-on coding labs for question answering using LLMs.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/vector-databases-professional-certificate-by-weaviate?u=104"" target=""_blank"">Professional Certificate</a> from Weaviate.</p>",Course,2025-05-25 15:08 UTC,N/A,false,N/A,
Copilot in PowerPoint: From Prompt to Presentation,"<p>Microsoft 365 Copilot—a new AI-powered feature available for Microsoft 365 apps—can help you create, refine, and format professional-looking presentations in a matter of seconds. In this course, join Microsoft PowerPoint MVP Julie Terberg as she shows you how to use Copilot in PowerPoint from start to finish to craft a complete and compelling presentation.</p><p>Learn how to generate an idea and enter a prompt, directing Copilot to generate new slides specific to your topic. Discover how you can use Copilot to create a presentation from an existing document or from scratch. Julie offers insights on how to refine and customize the text and pictures generated by Copilot, as well as easy-to-apply tips and tricks on using Copilot to save you time in PowerPoint.</p>
<p>
This course is part of these Professional Certificates from Microsoft:
</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/paths/generative-ai-for-marketing-with-microsoft-365-copilot-professional-certificate"">Generative AI for Marketing with Microsoft 365 Copilot Professional Certificate</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/build-your-generative-ai-productivity-skills-with-microsoft-and-linkedin"">Build Your Generative AI Productivity Skills with Microsoft and LinkedIn</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/generative-ai-for-sales-with-microsoft-365-copilot-professional-certificate"" target=""_blank"">Generative AI for Sales with Microsoft 365 Copilot Professional Certificate</a></li>
<li><a href=""https://www.linkedin.com/learning/paths/microsoft-copilot-for-productivity-by-microsoft-and-linkedin"" target=""_blank"">Microsoft Copilot for Productivity by Microsoft and LinkedIn</a></li>
</ul></p>",Course,2025-07-05 12:05 UTC,N/A,false,N/A,
Ableton Live 12 Essential Training,"Do you work in audio recording, loop-based songwriting, or synth and sound design? In this course, music professor Rick Schmunk walks you through a variety of ways you can use Ableton Live 12 in your workflows. Rick shows you how to set up your system and use the Ableton Live user interface. He explains how to work with the browser, the Arrangement view, and the Session view. After going over how to use the MIDI Editor, how to record and edit audio, and how to work with arrangements, Rick covers plug-ins, effects racks, the live mixer, and mapping. Then he demonstrates how to make your life easier by automating graphics, editing, and clips, including real-time automation. Rick concludes with some practical advice on managing your files.",Course,2024-11-15 18:32 UTC,N/A,false,N/A,
Uncertain: The Wisdom and Wonder of Being Unsure,"<p>Most people often feel embarrassed about uncertainties or blind spots in their knowledge. But Maggie Jackson—a journalist who covers social trends, with a particular focus on technology’s impact on humanity—argues that, properly understood, our ignorance can be the secret to enhanced performance and groundbreaking ideas. In this audiobook summary, Maggie shares five big ideas from her book, <i>Uncertain: The Wisdom and Wonder of Being Unsure</i>.
 </p><p>
 
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2025-10-11 19:07 UTC,N/A,false,N/A,
"Agentic AI Fundamentals: Architectures, Frameworks, and Applications","Looking to dive into the world of agentic AI? The course covers the essential concepts, architectures, and frameworks that form the foundation of autonomous agents. Explore decision-making processes, machine learning techniques, and multi-agent systems and gain practical knowledge to develop and deploy agentic AI solutions. Instructor David Linthicum also addresses the ethical and societal implications of agentic AI, as well as security and robustness considerations. Check out this course to get equipped with the skills and understanding needed to leverage agentic AI in various industries and applications.",Course,2025-06-15 11:26 UTC,N/A,false,N/A,
